id_transaccion,fecha_hora,comercio,categoria_comercio,ciudad_comercio,terminal,cliente,correo_cliente,tarjeta_ultimos4,marca_tarjeta,monto,moneda,estatus,metodo_captura,contracargo
TRX0000011,2026-03-31 07:42:09,BOUTIQUE IRIS,VESTIMENTA,Ciudad de Mexico,TPV03-CIU,Miguel Nunez,miguel.nunez174@correo.mx,2390,MASTERCARD,4860.72,MXN,RECHAZADA,CONTACTLESS,N
TRX0000012,2026-06-28 07:35:25,Viajes Altamar,viajes,Cancun,TPV01-CAN,Ana Cortes,ana.cortes53@correo.mx,3646,VISA,35613.27,MXN,RECHAZADA,CHIP,N
TRX0000013,2026-01-18 10:34:43,GASOLINERA KM 12,Combustible,Puebla,TPV03-PUE,Elena Rivas,elena.rivas20@correo.mx,9752,AMEX,671.51,MXN,APROBADA,CHIP,N
TRX0000014,2026-02-12 19:56:28,SUPER NORTENO,supermercado,Monterrey,TPV02-MON,Luis Salazar,luis.salazar77@correo.mx,1058,AMEX,1148.39,MXN,REVERSADA,CHIP,N
TRX0000015,2026-04-20 14:34:28,SUPER NORTENO,Supermercado,Monterrey,TPV04-MON,Lucia Vargas,lucia.vargas7@correo.mx,3320,MASTERCARD,2674.18,MXN,APROBADA,MANUAL,N
TRX0000016,2026-06-08 20:11:10,Farmacia del Sol ,FARM,Ciudad de Mexico,TPV04-CIU,Teresa Mendoza,teresa.mendoza55@correo.mx,6130,MASTERCARD,251.52,MXN,APROBADA,MANUAL,N
TRX0000017,2026-04-15 07:18:29,Viajes Altamar,Viajes,Cancun,TPV02-CAN,Sofia Rivas,sofia.rivas81@correo.mx,4001,VISA,26416.04,MXN,APROBADA,BANDA,N
TRX0000018,2026-05-24 12:55:56,CAFE AURORA,Restaurante,Guadalajara,TPV03-GUA,Hector Trejo,hector.trejo101@correo.mx,6533,MASTERCARD,410.63,MXN,APROBADA,BANDA,N
TRX0000019,2026-06-25 11:13:07,FARMACIA DEL SOL,Farmacia,Ciudad de Mexico,TPV02-CIU,Hector Delgado,hector.delgado137@correo.mx,3321,AMEX,702.17,MXN,REVERSADA,CONTACTLESS,N
TRX0000020,2026-04-15 16:20:29,Farmacia del Sol ,FARM,Ciudad de Mexico,TPV01-CIU,Elena Ramirez,elena.ramirez8@correo.mx,3648,MASTERCARD,190.46,MXN,APROBADA,CHIP,N
TRX0000021,2026-03-16 16:32:14,Cafe Aurora,Restaurante,Guadalajara,TPV01-GUA,Lucia Zamora,lucia.zamora108@correo.mx,3262,MASTERCARD,431.16,MXN,APROBADA,QR,N
TRX0000022,2026-01-04 17:38:34,CAFE AURORA,Restaurante,Guadalajara,TPV04-GUA,Lucia Trejo,lucia.trejo32@correo.mx,8092,VISA,386.25,MXN,APROBADA,MANUAL,N
TRX0000023,2026-05-13 19:13:11,SUPER NORTENO,supermercado,Monterrey,TPV04-MON,Raul Cortes,raul.cortes116@correo.mx,1792,MASTERCARD,1755.14,MXN,APROBADA,CHIP,N
TRX0000024,2026-02-28 21:12:02,Farmacia del Sol,Farmacia,Ciudad de Mexico,TPV02-CIU,Fernando Mendoza,fernando.mendoza57@correo.mx,8388,AMEX,776.82,MXN,APROBADA,CHIP,N
TRX0000025,2026-01-07 09:20:49,ELECTRO MAYA,electronica,Merida,TPV04-MER,Fernando Herrera,fernando.herrera177@correo.mx,7418,VISA,8328.27,MXN,REVERSADA,CONTACTLESS,N
TRX0000026,2026-02-12 11:55:36,Farmacia del Sol ,Farmacia,Ciudad de Mexico,TPV04-CIU,Sofia Delgado,sofia.delgado119@correo.mx,1778,AMEX,170.62,MXN,APROBADA,QR,N
TRX0000027,2026-06-19 15:17:27,GASOLINERA KM 12,Combustible,Puebla,TPV04-PUE,Elena Vargas,elena.vargas148@correo.mx,9840,AMEX,606.22,MXN,APROBADA,CONTACTLESS,N
TRX0000028,2026-05-24 18:41:31,SUPER NORTENO,supermercado,Monterrey,TPV02-MON,Raul Delgado,raul.delgado105@correo.mx,8772,MASTERCARD,1974.7,MXN,RECHAZADA,CONTACTLESS,N
TRX0000029,2026-04-16 18:57:45,VIAJES ALTAMAR,viajes,Cancun,TPV03-CAN,Jorge Vargas,jorge.vargas86@correo.mx,5040,MASTERCARD,7311.56,MXN,RECHAZADA,CONTACTLESS,N
TRX0000030,2026-06-08 10:43:22,Super Nortenio,Supermercado,Monterrey,TPV02-MON,Miguel Trejo,miguel.trejo115@correo.mx,2634,VISA,1007.24,MXN,REVERSADA,QR,N
TRX0000031,2026-02-13 14:43:36,FARMACIA DEL SOL,FARM,Ciudad de Mexico,TPV01-CIU,Raul Delgado,raul.delgado105@correo.mx,6357,VISA,253.91,MXN,APROBADA,BANDA,N
TRX0000032,2026-04-09 17:24:34,Farmacia del Sol,FARM,Ciudad de Mexico,TPV01-CIU,Sofia Trejo,sofia.trejo80@correo.mx,8498,MASTERCARD,638.82,MXN,APROBADA,CHIP,N
TRX0000033,2026-06-24 06:18:37,BOUTIQUE IRIS,VESTIMENTA,Ciudad de Mexico,TPV03-CIU,Lucia Delgado,lucia.delgado120@correo.mx,1162,AMEX,1705.8,MXN,APROBADA,QR,N
TRX0000034,2026-05-06 13:36:34,Super Nortenio,SUPER,Monterrey,TPV02-MON,Hector Nunez,hector.nunez38@correo.mx,3109,AMEX,1127.84,MXN,APROBADA,QR,S
TRX0000035,2026-02-07 10:45:13,CAFE AURORA,restaurante,Guadalajara,TPV01-GUA,Lucia Ramirez,lucia.ramirez43@correo.mx,2509,VISA,472.34,MXN,APROBADA,CONTACTLESS,N
TRX0000036,2026-03-09 21:00:18,Boutique  Iris,Ropa,Ciudad de Mexico,TPV03-CIU,Patricia Vargas,patricia.vargas26@correo.mx,4933,VISA,1552.82,MXN,RECHAZADA,QR,N
TRX0000037,2026-04-30 08:28:55,Super Nortenio,Supermercado,Monterrey,TPV01-MON,Fernando Vargas,fernando.vargas65@correo.mx,7747,MASTERCARD,744.32,MXN,APROBADA,CHIP,N
TRX0000038,2026-01-16 07:38:15,Super Nortenio,supermercado,Monterrey,TPV02-MON,Jorge Mendoza,jorge.mendoza47@correo.mx,7512,AMEX,2558.1,MXN,APROBADA,BANDA,N
TRX0000039,2026-03-29 18:58:31,GASOLINERA KM 12,combustible,Puebla,TPV01-PUE,Fernando Herrera,fernando.herrera168@correo.mx,8810,VISA,587.47,MXN,APROBADA,CONTACTLESS,N
TRX0000040,2026-03-31 10:23:45,Cafe Aurora,Restaurante,Guadalajara,TPV01-GUA,Raul Nunez,raul.nunez70@correo.mx,5287,AMEX,426.8,MXN,APROBADA,BANDA,N
TRX0000041,2026-06-28 12:54:46,Super Nortenio,SUPER,Monterrey,TPV04-MON,Patricia Herrera,patricia.herrera3@correo.mx,4061,VISA,1495.78,MXN,APROBADA,QR,N
TRX0000042,2026-01-16 08:25:26,CAFE AURORA,Restaurante,Guadalajara,TPV01-GUA,Ivan Delgado,ivan.delgado59@correo.mx,3851,AMEX,90.89,MXN,APROBADA,CONTACTLESS,N
TRX0000043,2026-05-16 11:49:21,Super Norteno,Supermercado,Monterrey,TPV03-MON,Hector Delgado,hector.delgado137@correo.mx,3321,AMEX,1130.33,MXN,APROBADA,QR,N
TRX0000044,2026-01-26 10:02:52,FARMACIA DEL SOL,Farmacia,Ciudad de Mexico,TPV01-CIU,Luis Gonzalez,luis.gonzalez18@correo.mx,5494,VISA,156.55,MXN,APROBADA,CONTACTLESS,N
TRX0000045,2026-01-25 10:23:11,Super Nortenio,SUPER,Monterrey,TPV04-MON,Ana Nunez,ana.nunez17@correo.mx,9063,VISA,2023.61,MXN,APROBADA,BANDA,N
TRX0000046,2026-01-15 06:55:13,CAFE AURORA,restaurante,Guadalajara,TPV02-GUA,Ivan Trejo,ivan.trejo180@correo.mx,8045,MASTERCARD,354.29,MXN,APROBADA,MANUAL,N
TRX0000047,2026-04-21 17:17:45,ELECTRO MAYA,electronica,Merida,TPV04-MER,Elena Gonzalez,elena.gonzalez143@correo.mx,1660,MASTERCARD,9955.64,MXN,APROBADA,QR,N
TRX0000048,2026-05-12 13:51:12,CAFE AURORA,Restaurante,Guadalajara,TPV04-GUA,Teresa Rivas,teresa.rivas6@correo.mx,1505,MASTERCARD,277.2,MXN,APROBADA,MANUAL,N
TRX0000049,2026-05-16 14:42:43,Cafe Aurora,restaurante,Guadalajara,TPV04-GUA,Elena Delgado,elena.delgado149@correo.mx,9248,MASTERCARD,126.4,MXN,APROBADA,CONTACTLESS,N
TRX0000050,2026-05-08 07:45:08,BOUTIQUE IRIS,VESTIMENTA,Ciudad de Mexico,TPV02-CIU,Luis Herrera,luis.herrera5@correo.mx,3036,MASTERCARD,1183.65,MXN,APROBADA,QR,N
TRX0000051,2026-06-06 18:25:30,Super Nortenio,SUPER,Monterrey,TPV03-MON,Hector Nunez,hector.nunez38@correo.mx,3109,AMEX,3015.9,MXN,APROBADA,CHIP,N
TRX0000052,2026-03-21 18:26:35,Super Nortenio,Supermercado,Monterrey,TPV04-MON,Ana Mendoza,ana.mendoza27@correo.mx,5764,VISA,3415.12,MXN,APROBADA,MANUAL,N
TRX0000053,2026-03-07 06:14:36,Cafe Aurora,restaurante,Guadalajara,TPV02-GUA,Teresa Rivas,teresa.rivas6@correo.mx,1505,MASTERCARD,471.4,MXN,APROBADA,QR,N
TRX0000054,2026-06-07 21:58:36,Farmacia del Sol,farmacia,Ciudad de Mexico,TPV04-CIU,Patricia Nunez,patricia.nunez52@correo.mx,8415,VISA,748.59,MXN,APROBADA,BANDA,N
TRX0000055,2026-03-11 15:31:50,FARMACIA DEL SOL,FARM,Ciudad de Mexico,TPV02-CIU,Patricia Cortes,patricia.cortes160@correo.mx,9021,MASTERCARD,888.72,MXN,APROBADA,MANUAL,N
TRX0000056,2026-05-23 13:43:15,FARMACIA DEL SOL,farmacia,Ciudad de Mexico,TPV02-CIU,Sofia Trejo,sofia.trejo80@correo.mx,8498,MASTERCARD,175.58,MXN,APROBADA,MANUAL,N
TRX0000057,2026-01-06 11:43:41,FARMACIA DEL SOL,FARM,Ciudad de Mexico,TPV01-CIU,Jorge Herrera,jorge.herrera112@correo.mx,5612,MASTERCARD,424.04,MXN,APROBADA,CHIP,N
TRX0000058,2026-04-11 08:00:35,SUPER NORTENO,supermercado,Monterrey,TPV02-MON,Raul Delgado,raul.delgado169@correo.mx,7678,VISA,435.06,MXN,APROBADA,CHIP,N
TRX0000059,2026-01-15 16:08:52,Farmacia del Sol ,farmacia,Ciudad de Mexico,TPV04-CIU,Ivan Ramirez,ivan.ramirez45@correo.mx,8146,AMEX,437.72,MXN,APROBADA,BANDA,N
TRX0000060,2026-02-05 21:39:52,Farmacia del Sol ,FARM,Ciudad de Mexico,TPV04-CIU,Rocio Rivas,rocio.rivas87@correo.mx,7400,AMEX,684.85,MXN,APROBADA,CHIP,N
TRX0000061,2026-03-21 14:41:35,FARMACIA DEL SOL,FARM,Ciudad de Mexico,TPV01-CIU,Teresa Rivas,teresa.rivas25@correo.mx,6114,AMEX,465.29,MXN,APROBADA,CHIP,N
TRX0000062,2026-02-03 12:52:42,SUPER NORTENO,Supermercado,Monterrey,TPV02-MON,Patricia Vargas,patricia.vargas26@correo.mx,4933,VISA,1843.19,MXN,APROBADA,QR,N
TRX0000063,2026-02-28 16:54:26,Super Norteno,SUPER,Monterrey,TPV04-MON,Lucia Trejo,lucia.trejo92@correo.mx,3905,MASTERCARD,1346.43,MXN,RECHAZADA,QR,N
TRX0000064,2026-04-02 11:34:00,Super Norteno,supermercado,Monterrey,TPV01-MON,Patricia Cortes,patricia.cortes160@correo.mx,4485,VISA,1964.72,MXN,APROBADA,CHIP,S
TRX0000065,2026-05-07 08:12:57,Farmacia del Sol,FARM,Ciudad de Mexico,TPV04-CIU,Rocio Herrera,rocio.herrera165@correo.mx,6020,VISA,813.06,MXN,APROBADA,MANUAL,N
TRX0000066,2026-01-12 11:47:22,Farmacia del Sol,farmacia,Ciudad de Mexico,TPV02-CIU,Hector Trejo,hector.trejo101@correo.mx,6533,MASTERCARD,453.39,MXN,APROBADA,MANUAL,N
TRX0000067,2026-01-12 15:31:45,BOUTIQUE IRIS,VESTIMENTA,Ciudad de Mexico,TPV03-CIU,Rocio Rivas,rocio.rivas87@correo.mx,7957,VISA,3026.34,MXN,APROBADA,BANDA,N
TRX0000068,2026-04-03 17:22:31,Gasolinera Km 12,Combustible,Puebla,TPV03-PUE,Lucia Delgado,lucia.delgado120@correo.mx,1162,AMEX,624.75,MXN,APROBADA,CONTACTLESS,N
TRX0000069,2026-01-22 20:53:01,BOUTIQUE IRIS,ropa,Ciudad de Mexico,TPV02-CIU,Ana Delgado,ana.delgado171@correo.mx,1786,AMEX,3279.3,MXN,APROBADA,CHIP,N
TRX0000070,2026-01-02 11:00:10,Farmacia del Sol,Farmacia,Ciudad de Mexico,TPV03-CIU,Jorge Rivas,jorge.rivas147@correo.mx,5919,MASTERCARD,868.81,MXN,APROBADA,QR,N
TRX0000071,2026-02-04 13:24:35,Viajes Altamar,viajes,Cancun,TPV01-CAN,Lucia Trejo,lucia.trejo32@correo.mx,8092,VISA,31034.21,MXN,REVERSADA,QR,N
TRX0000072,2026-04-26 07:51:31,CAFE AURORA,restaurante,Guadalajara,TPV02-GUA,Miguel Nunez,miguel.nunez174@correo.mx,2390,MASTERCARD,479.67,MXN,REVERSADA,CHIP,N
TRX0000073,2026-05-26 06:22:18,Cafe Aurora,Restaurante,Guadalajara,TPV01-GUA,Raul Zamora,raul.zamora124@correo.mx,6787,AMEX,402.73,MXN,APROBADA,CHIP,N
TRX0000074,2026-03-11 12:12:08,Boutique  Iris,VESTIMENTA,Ciudad de Mexico,TPV03-CIU,Lucia Gonzalez,lucia.gonzalez96@correo.mx,7074,VISA,1771.16,MXN,APROBADA,CHIP,N
TRX0000075,2026-03-08 14:34:43,Farmacia del Sol,Farmacia,Ciudad de Mexico,TPV01-CIU,Jorge Vargas,jorge.vargas40@correo.mx,7531,MASTERCARD,154.81,MXN,APROBADA,BANDA,N
TRX0000076,2026-04-19 13:12:12,Super Nortenio,SUPER,Monterrey,TPV03-MON,Sofia Nunez,sofia.nunez134@correo.mx,8835,VISA,2662.78,MXN,APROBADA,CONTACTLESS,N
TRX0000077,2026-05-25 09:51:14,Super Norteno,supermercado,Monterrey,TPV03-MON,Hector Mendoza,hector.mendoza10@correo.mx,6846,VISA,228.71,MXN,APROBADA,CONTACTLESS,N
TRX0000078,2026-03-16 06:13:03,Cafe Aurora,restaurante,Guadalajara,TPV02-GUA,Fernando Ramirez,fernando.ramirez126@correo.mx,7487,AMEX,322.05,MXN,APROBADA,CONTACTLESS,N
TRX0000079,2026-06-05 17:17:36,CAFE AURORA,restaurante,Guadalajara,TPV02-GUA,Fernando Mendoza,fernando.mendoza109@correo.mx,1447,AMEX,328.74,MXN,REVERSADA,CHIP,N
TRX0000080,2026-05-29 07:42:27,SUPER NORTENO,Supermercado,Monterrey,TPV02-MON,Elena Ramirez,elena.ramirez61@correo.mx,8246,AMEX,1921.03,MXN,APROBADA,BANDA,N
TRX0000081,2026-01-09 13:53:50,Boutique  Iris,VESTIMENTA,Ciudad de Mexico,TPV02-CIU,Elena Ramirez,elena.ramirez175@correo.mx,9442,MASTERCARD,2144.2,MXN,APROBADA,BANDA,N
TRX0000082,2026-03-06 18:24:01,Super Nortenio,Supermercado,Monterrey,TPV01-MON,Raul Gonzalez,raul.gonzalez74@correo.mx,9447,VISA,2689.54,MXN,APROBADA,BANDA,N
TRX0000083,2026-04-08 10:50:37,Cafe Aurora,Restaurante,Guadalajara,TPV03-GUA,Fernando Nunez,fernando.nunez145@correo.mx,5858,AMEX,405.85,MXN,APROBADA,QR,N
TRX0000084,2026-06-22 11:56:50,SUPER NORTENO,SUPER,Monterrey,TPV02-MON,Fernando Rivas,fernando.rivas133@correo.mx,6714,MASTERCARD,2722.35,MXN,APROBADA,BANDA,N
TRX0000085,2026-01-17 21:11:52,GASOLINERA KM 12,combustible,Puebla,TPV03-PUE,Sofia Rivas,sofia.rivas81@correo.mx,4001,VISA,926.33,MXN,APROBADA,QR,N
TRX0000086,2026-04-04 13:55:02,SUPER NORTENO,SUPER,Monterrey,TPV02-MON,Ana Zamora,ana.zamora72@correo.mx,8476,VISA,2262.29,MXN,APROBADA,QR,N
TRX0000087,2026-02-28 11:21:24,SUPER NORTENO,supermercado,Monterrey,TPV04-MON,Jorge Rivas,jorge.rivas78@correo.mx,8391,AMEX,986.99,MXN,APROBADA,MANUAL,N
TRX0000088,2026-01-25 17:39:55,Cafe Aurora,restaurante,Guadalajara,TPV02-GUA,Elena Ramirez,elena.ramirez8@correo.mx,3648,MASTERCARD,356.16,MXN,APROBADA,BANDA,N
TRX0000089,2026-04-05 15:36:05,Boutique Iris,ropa,Ciudad de Mexico,TPV04-CIU,Teresa Salazar,teresa.salazar118@correo.mx,4699,VISA,3204.95,MXN,APROBADA,BANDA,N
TRX0000090,2026-04-04 11:39:19,Cafe Aurora,Restaurante,Guadalajara,TPV03-GUA,Raul Vargas,raul.vargas135@correo.mx,8290,AMEX,474.16,MXN,APROBADA,CONTACTLESS,N
TRX0000091,2026-01-31 06:21:59,CAFE AURORA,Restaurante,Guadalajara,TPV04-GUA,Fernando Mendoza,fernando.mendoza109@correo.mx,1447,AMEX,170.58,MXN,APROBADA,BANDA,N
TRX0000092,2026-06-16 08:01:02,Farmacia del Sol ,farmacia,Ciudad de Mexico,TPV04-CIU,Carmen Mendoza,carmen.mendoza95@correo.mx,6566,AMEX,632.29,MXN,APROBADA,MANUAL,N
TRX0000093,2026-01-07 09:34:18,SUPER NORTENO,Supermercado,Monterrey,TPV02-MON,Ivan Trejo,ivan.trejo180@correo.mx,8045,MASTERCARD,2064.28,MXN,APROBADA,BANDA,N
TRX0000094,2026-04-09 17:56:40,GASOLINERA KM 12,Combustible,Puebla,TPV02-PUE,Carmen Rivas,carmen.rivas139@correo.mx,4822,AMEX,1096.76,MXN,APROBADA,CHIP,N
TRX0000095,2026-04-20 10:35:03,Super Norteno,SUPER,Monterrey,TPV02-MON,Carmen Mendoza,carmen.mendoza95@correo.mx,6566,AMEX,2478.08,MXN,APROBADA,BANDA,N
TRX0000096,2026-01-31 20:10:00,Super Norteno,Supermercado,Monterrey,TPV02-MON,Fernando Herrera,fernando.herrera168@correo.mx,8810,VISA,2195.45,MXN,APROBADA,QR,S
TRX0000097,2026-01-27 06:47:37,Gasolinera Km 12,combustible,Puebla,TPV01-PUE,Miguel Nunez,miguel.nunez174@correo.mx,2390,MASTERCARD,1229.5,MXN,APROBADA,CHIP,N
TRX0000098,2026-03-09 10:26:40,Gasolinera Km 12,Combustible,Puebla,TPV03-PUE,Raul Nunez,raul.nunez70@correo.mx,2085,VISA,1112.91,MXN,APROBADA,CONTACTLESS,N
TRX0000099,2026-06-16 20:14:49,Farmacia del Sol ,FARM,Ciudad de Mexico,TPV04-CIU,Patricia Delgado,patricia.delgado67@correo.mx,9262,AMEX,153.33,MXN,APROBADA,MANUAL,N
TRX0000100,2026-02-22 06:12:10,Super Norteno,Supermercado,Monterrey,TPV02-MON,Ana Ramirez,ana.ramirez100@correo.mx,7540,MASTERCARD,974.25,MXN,APROBADA,QR,N
TRX0000101,2026-04-21 11:06:51,Gasolinera Km 12,Combustible,Puebla,TPV04-PUE,Patricia Gonzalez,patricia.gonzalez127@correo.mx,8628,VISA,1537.86,MXN,APROBADA,CHIP,N
TRX0000102,2026-04-28 17:41:35,Electro Maya,Electronica,Merida,TPV01-MER,Ana Zamora,ana.zamora72@correo.mx,8476,VISA,1877.74,MXN,REVERSADA,CONTACTLESS,N
TRX0000103,2026-05-31 06:10:58,Super Norteno,supermercado,Monterrey,TPV01-MON,Patricia Mendoza,patricia.mendoza140@correo.mx,5378,VISA,1776.2,MXN,APROBADA,CONTACTLESS,N
TRX0000104,2026-05-07 16:40:06,FARMACIA DEL SOL,farmacia,Ciudad de Mexico,TPV04-CIU,Raul Vargas,raul.vargas37@correo.mx,5573,AMEX,540.46,MXN,APROBADA,CHIP,N
TRX0000105,2026-05-20 06:16:22,BOUTIQUE IRIS,VESTIMENTA,Ciudad de Mexico,TPV03-CIU,Elena Trejo,elena.trejo73@correo.mx,9973,AMEX,3836.42,MXN,APROBADA,QR,N
TRX0000106,2026-04-08 11:25:01,SUPER NORTENO,supermercado,Monterrey,TPV02-MON,Raul Vargas,raul.vargas106@correo.mx,1214,AMEX,774.32,MXN,APROBADA,BANDA,N
TRX0000107,2026-05-10 17:39:12,Cafe Aurora,Restaurante,Guadalajara,TPV04-GUA,Luis Trejo,luis.trejo1@correo.mx,7154,MASTERCARD,122.07,MXN,APROBADA,CHIP,N
TRX0000108,2026-03-22 15:39:41,GASOLINERA KM 12,Combustible,Puebla,TPV03-PUE,Sofia Rivas,sofia.rivas81@correo.mx,4001,VISA,1433.43,MXN,APROBADA,CONTACTLESS,N
TRX0000109,2026-03-30 11:59:27,SUPER NORTENO,supermercado,Monterrey,TPV04-MON,Jorge Rivas,jorge.rivas147@correo.mx,5919,MASTERCARD,295.84,MXN,APROBADA,CHIP,N
TRX0000110,2026-01-31 08:32:46,Gasolinera Km 12,Combustible,Puebla,TPV03-PUE,Hector Mendoza,hector.mendoza71@correo.mx,6093,VISA,1179.64,MXN,APROBADA,CONTACTLESS,N
TRX0000111,2026-01-07 18:43:07,Farmacia del Sol ,farmacia,Ciudad de Mexico,TPV04-CIU,Teresa Mendoza,teresa.mendoza55@correo.mx,6130,MASTERCARD,856.5,MXN,APROBADA,CHIP,N
TRX0000112,2026-03-28 17:06:56,Farmacia del Sol,Farmacia,Ciudad de Mexico,TPV04-CIU,Raul Gonzalez,raul.gonzalez74@correo.mx,9447,VISA,227.85,MXN,APROBADA,MANUAL,N
TRX0000113,2026-03-03 21:52:54,CAFE AURORA,Restaurante,Guadalajara,TPV04-GUA,Patricia Herrera,patricia.herrera13@correo.mx,1324,VISA,177.33,MXN,APROBADA,CONTACTLESS,N
TRX0000114,2026-01-26 16:38:57,CAFE AURORA,Restaurante,Guadalajara,TPV01-GUA,Hector Mendoza,hector.mendoza10@correo.mx,6846,VISA,182.28,MXN,APROBADA,CONTACTLESS,N
TRX0000115,2026-06-08 19:53:02,Super Nortenio,SUPER,Monterrey,TPV03-MON,Hector Mendoza,hector.mendoza10@correo.mx,6846,VISA,546.82,MXN,APROBADA,CONTACTLESS,N
TRX0000116,2026-01-30 14:38:50,Electro Maya,Electronica,Merida,TPV03-MER,Patricia Cortes,patricia.cortes160@correo.mx,4485,VISA,2867.0,MXN,RECHAZADA,MANUAL,N
TRX0000117,2026-06-02 14:03:31,BOUTIQUE IRIS,VESTIMENTA,Ciudad de Mexico,TPV02-CIU,Rocio Vargas,rocio.vargas62@correo.mx,4939,MASTERCARD,4163.81,MXN,APROBADA,BANDA,N
TRX0000118,2026-06-16 10:21:58,GASOLINERA KM 12,Combustible,Puebla,TPV02-PUE,Patricia Ramirez,patricia.ramirez130@correo.mx,8241,AMEX,1332.31,MXN,APROBADA,QR,N
TRX0000119,2026-06-17 06:53:40,Boutique  Iris,Ropa,Ciudad de Mexico,TPV02-CIU,Raul Vargas,raul.vargas106@correo.mx,1214,AMEX,4671.74,MXN,APROBADA,MANUAL,N
TRX0000120,2026-06-09 09:59:50,Cafe Aurora,Restaurante,Guadalajara,TPV01-GUA,Raul Rivas,raul.rivas114@correo.mx,9720,MASTERCARD,291.19,MXN,APROBADA,CHIP,N
TRX0000121,2026-04-07 07:30:02,SUPER NORTENO,Supermercado,Monterrey,TPV02-MON,Sofia Cortes,sofia.cortes153@correo.mx,1495,AMEX,2624.41,MXN,RECHAZADA,CONTACTLESS,N
TRX0000122,2026-06-28 08:55:54,CAFE AURORA,restaurante,Guadalajara,TPV04-GUA,Carmen Vargas,carmen.vargas161@correo.mx,3446,MASTERCARD,226.17,MXN,APROBADA,CHIP,N
TRX0000123,2026-06-09 13:10:47,SUPER NORTENO,Supermercado,Monterrey,TPV03-MON,Ivan Gonzalez,ivan.gonzalez41@correo.mx,2888,AMEX,2142.53,MXN,APROBADA,MANUAL,N
TRX0000124,2026-01-29 17:21:03,Gasolinera Km 12,Combustible,Puebla,TPV03-PUE,Ana Vargas,ana.vargas60@correo.mx,5862,AMEX,606.77,MXN,RECHAZADA,CHIP,N
TRX0000125,2026-04-03 17:56:41,Cafe Aurora,restaurante,Guadalajara,TPV03-GUA,Luis Rivas,luis.rivas99@correo.mx,1585,MASTERCARD,85.84,MXN,APROBADA,MANUAL,N
TRX0000126,2026-02-01 17:35:07,CAFE AURORA,restaurante,Guadalajara,TPV02-GUA,Miguel Cortes,miguel.cortes97@correo.mx,9422,MASTERCARD,301.19,MXN,REVERSADA,CONTACTLESS,N
TRX0000127,2026-04-11 17:42:08,Viajes Altamar,viajes,Cancun,TPV02-CAN,Sofia Nunez,sofia.nunez56@correo.mx,5954,AMEX,34561.94,MXN,APROBADA,CHIP,N
TRX0000128,2026-06-18 08:49:15,Super Norteno,SUPER,Monterrey,TPV04-MON,Hector Rivas,hector.rivas50@correo.mx,8897,MASTERCARD,3171.72,MXN,APROBADA,CHIP,N
TRX0000129,2026-06-14 19:13:46,Farmacia del Sol ,FARM,Ciudad de Mexico,TPV02-CIU,Ana Cortes,ana.cortes91@correo.mx,8806,AMEX,508.31,MXN,APROBADA,MANUAL,N
